created_at,updated_at,academic_record_id,student_id,semester_id,academic_year_id,credits_registered,credits_earned,sgpa,cgpa,failed_courses,backlog_courses,semester_result
2026-07-30T21:22:50.654347,2026-07-30T21:22:50.654358,AR000001,ST000001,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS
2026-07-30T21:22:50.654381,2026-07-30T21:22:50.654384,AR000002,ST000002,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS
2026-07-30T21:22:50.654395,2026-07-30T21:22:50.654397,AR000003,ST000003,SEM000007,AY000004,16.0,16.0,6.5,6.5,0,0,PASS
2026-07-30T21:22:50.654406,2026-07-30T21:22:50.654408,AR000004,ST000004,SEM000007,AY000004,16.0,16.0,6.5,6.5,0,0,PASS
2026-07-30T21:22:50.654416,2026-07-30T21:22:50.654418,AR000005,ST000005,SEM000007,AY000004,16.0,16.0,8.25,8.25,0,0,PASS
2026-07-30T21:22:50.654427,2026-07-30T21:22:50.654428,AR000006,ST000006,SEM000007,AY000004,16.0,16.0,8.0,8.0,0,0,PASS
2026-07-30T21:22:50.654436,2026-07-30T21:22:50.654438,AR000007,ST000007,SEM000007,AY000004,16.0,16.0,8.0,8.0,0,0,PASS
2026-07-30T21:22:50.654446,2026-07-30T21:22:50.654448,AR000008,ST000008,SEM000007,AY000004,12.0,12.0,8.0,8.0,0,0,PASS
2026-07-30T21:22:50.654459,2026-07-30T21:22:50.654462,AR000009,ST000009,SEM000007,AY000004,12.0,12.0,7.33,7.33,0,0,PASS
2026-07-30T21:22:50.654470,2026-07-30T21:22:50.654472,AR000010,ST000010,SEM000007,AY000004,16.0,16.0,6.75,6.75,0,0,PASS
2026-07-30T21:22:50.654480,2026-07-30T21:22:50.654482,AR000011,ST000011,SEM000007,AY000004,12.0,12.0,4.0,4.0,0,0,PASS
2026-07-30T21:22:50.654490,2026-07-30T21:22:50.654492,AR000012,ST000012,SEM000007,AY000004,16.0,16.0,8.5,8.5,0,0,PASS
2026-07-30T21:22:50.654501,2026-07-30T21:22:50.654502,AR000013,ST000013,SEM000007,AY000004,16.0,16.0,9.75,9.75,0,0,PASS
2026-07-30T21:22:50.654510,2026-07-30T21:22:50.654512,AR000014,ST000014,SEM000007,AY000004,16.0,16.0,8.5,8.5,0,0,PASS
2026-07-30T21:22:50.654520,2026-07-30T21:22:50.654522,AR000015,ST000015,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS
2026-07-30T21:22:50.654532,2026-07-30T21:22:50.654534,AR000016,ST000016,SEM000007,AY000004,16.0,16.0,6.25,6.25,0,0,PASS
2026-07-30T21:22:50.654542,2026-07-30T21:22:50.654544,AR000017,ST000017,SEM000007,AY000004,12.0,4.0,1.67,1.67,2,2,PROMOTED
2026-07-30T21:22:50.654552,2026-07-30T21:22:50.654554,AR000018,ST000018,SEM000007,AY000004,16.0,16.0,9.0,9.0,0,0,PASS
2026-07-30T21:22:50.654562,2026-07-30T21:22:50.654566,AR000019,ST000019,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS
2026-07-30T21:22:50.654574,2026-07-30T21:22:50.654576,AR000020,ST000020,SEM000007,AY000004,16.0,16.0,6.75,6.75,0,0,PASS
2026-07-30T21:22:50.654584,2026-07-30T21:22:50.654586,AR000021,ST000021,SEM000007,AY000004,16.0,12.0,3.5,3.5,1,1,PROMOTED
2026-07-30T21:22:50.654594,2026-07-30T21:22:50.654596,AR000022,ST000022,SEM000007,AY000004,16.0,16.0,9.0,9.0,0,0,PASS
2026-07-30T21:22:50.654606,2026-07-30T21:22:50.654609,AR000023,ST000023,SEM000007,AY000004,16.0,16.0,6.25,6.25,0,0,PASS
2026-07-30T21:22:50.654616,2026-07-30T21:22:50.654618,AR000024,ST000024,SEM000007,AY000004,16.0,16.0,9.5,9.5,0,0,PASS
2026-07-30T21:22:50.654628,2026-07-30T21:22:50.654630,AR000025,ST000025,SEM000007,AY000004,12.0,0.0,0.0,0.0,3,3,FAIL
2026-07-30T21:22:50.654638,2026-07-30T21:22:50.654640,AR000026,ST000026,SEM000007,AY000004,8.0,0.0,0.0,0.0,2,2,PROMOTED
2026-07-30T21:22:50.654648,2026-07-30T21:22:50.654650,AR000027,ST000027,SEM000007,AY000004,16.0,16.0,8.25,8.25,0,0,PASS
