created_at,updated_at,course_offering_id,course_id,department_id,academic_year_id,semester_id,faculty_id,section,maximum_students,is_elective,is_active
2026-07-30T14:48:25.546178,2026-07-30T14:48:25.546180,CO000001,CRS000001,DEP000001,AY000001,SEM000001,MN000001,A,60,False,True
2026-07-30T14:48:25.546192,2026-07-30T14:48:25.546196,CO000002,CRS000002,DEP000001,AY000001,SEM000001,MN000002,A,60,False,True
2026-07-30T14:48:25.546204,2026-07-30T14:48:25.546208,CO000003,CRS000003,DEP000001,AY000001,SEM000001,MN000003,A,60,False,True
2026-07-30T14:48:25.546216,2026-07-30T14:48:25.546218,CO000004,CRS000004,DEP000001,AY000001,SEM000001,MN000004,A,60,False,True
2026-07-30T14:48:25.546225,2026-07-30T14:48:25.546227,CO000005,CRS000005,DEP000001,AY000001,SEM000002,MN000005,A,60,False,True
2026-07-30T14:48:25.546230,2026-07-30T14:48:25.546232,CO000006,CRS000006,DEP000001,AY000001,SEM000002,MN000006,A,60,False,True
2026-07-30T14:48:25.546235,2026-07-30T14:48:25.546237,CO000007,CRS000007,DEP000001,AY000001,SEM000002,MN000007,A,60,False,True
2026-07-30T14:48:25.546240,2026-07-30T14:48:25.546241,CO000008,CRS000008,DEP000001,AY000001,SEM000002,MN000008,A,60,False,True
2026-07-30T14:48:25.546244,2026-07-30T14:48:25.546246,CO000009,CRS000009,DEP000001,AY000002,SEM000003,MN000009,A,60,False,True
2026-07-30T14:48:25.546251,2026-07-30T14:48:25.546255,CO000010,CRS000010,DEP000001,AY000002,SEM000003,MN000010,A,60,False,True
2026-07-30T14:48:25.546262,2026-07-30T14:48:25.546264,CO000011,CRS000011,DEP000001,AY000002,SEM000003,MN000011,A,60,False,True
2026-07-30T14:48:25.546267,2026-07-30T14:48:25.546269,CO000012,CRS000012,DEP000001,AY000002,SEM000003,MN000012,A,60,False,True
2026-07-30T14:48:25.546272,2026-07-30T14:48:25.546274,CO000013,CRS000013,DEP000001,AY000002,SEM000004,MN000013,A,60,False,True
2026-07-30T14:48:25.546277,2026-07-30T14:48:25.546278,CO000014,CRS000014,DEP000001,AY000002,SEM000004,MN000014,A,60,False,True
2026-07-30T14:48:25.546281,2026-07-30T14:48:25.546283,CO000015,CRS000015,DEP000001,AY000002,SEM000004,MN000015,A,60,False,True
2026-07-30T14:48:25.546286,2026-07-30T14:48:25.546288,CO000016,CRS000016,DEP000001,AY000002,SEM000004,MN000001,A,60,False,True
2026-07-30T14:48:25.546291,2026-07-30T14:48:25.546292,CO000017,CRS000017,DEP000001,AY000003,SEM000005,MN000002,A,60,False,True
2026-07-30T14:48:25.546296,2026-07-30T14:48:25.546297,CO000018,CRS000018,DEP000001,AY000003,SEM000005,MN000003,A,60,False,True
2026-07-30T14:48:25.546300,2026-07-30T14:48:25.546302,CO000019,CRS000019,DEP000001,AY000003,SEM000005,MN000004,A,60,False,True
2026-07-30T14:48:25.546305,2026-07-30T14:48:25.546307,CO000020,CRS000020,DEP000001,AY000003,SEM000005,MN000005,A,60,False,True
2026-07-30T14:48:25.546310,2026-07-30T14:48:25.546311,CO000021,CRS000021,DEP000001,AY000003,SEM000006,MN000006,A,60,False,True
2026-07-30T14:48:25.546314,2026-07-30T14:48:25.546316,CO000022,CRS000022,DEP000001,AY000003,SEM000006,MN000007,A,60,False,True
2026-07-30T14:48:25.546319,2026-07-30T14:48:25.546320,CO000023,CRS000023,DEP000001,AY000003,SEM000006,MN000008,A,60,False,True
2026-07-30T14:48:25.546324,2026-07-30T14:48:25.546325,CO000024,CRS000024,DEP000001,AY000003,SEM000006,MN000009,A,60,False,True
2026-07-30T14:48:25.546344,2026-07-30T14:48:25.546347,CO000025,CRS000025,DEP000001,AY000004,SEM000007,MN000010,A,60,False,True
2026-07-30T14:48:25.546353,2026-07-30T14:48:25.546355,CO000026,CRS000026,DEP000001,AY000004,SEM000007,MN000011,A,60,False,True
2026-07-30T14:48:25.546359,2026-07-30T14:48:25.546361,CO000027,CRS000027,DEP000001,AY000004,SEM000007,MN000012,A,60,False,True
2026-07-30T14:48:25.546365,2026-07-30T14:48:25.546367,CO000028,CRS000028,DEP000001,AY000004,SEM000007,MN000013,A,60,True,True
2026-07-30T14:48:25.546371,2026-07-30T14:48:25.546373,CO000029,CRS000029,DEP000001,AY000004,SEM000008,MN000014,A,60,False,True
2026-07-30T14:48:25.546377,2026-07-30T14:48:25.546379,CO000030,CRS000030,DEP000001,AY000004,SEM000008,MN000015,A,60,False,True
2026-07-30T14:48:25.546383,2026-07-30T14:48:25.546385,CO000031,CRS000031,DEP000001,AY000004,SEM000008,MN000001,A,60,True,True
