created_at,updated_at,course_id,course_code,course_name,credits,category,course_type,is_active
2026-07-30T14:48:25.545058,2026-07-30T14:48:25.545063,CRS000001,MAT101,Engineering Mathematics-I,4,Core,Theory,True
2026-07-30T14:48:25.545089,2026-07-30T14:48:25.545090,CRS000002,PHY101,Engineering Physics,4,Core,Theory,True
2026-07-30T14:48:25.545104,2026-07-30T14:48:25.545106,CRS000003,CSE101,Programming in C,4,Core,Practical,True
2026-07-30T14:48:25.545115,2026-07-30T14:48:25.545116,CRS000004,ENG101,Communication Skills,2,Core,Practical,True
2026-07-30T14:48:25.545124,2026-07-30T14:48:25.545126,CRS000005,MAT102,Engineering Mathematics-II,4,Core,Theory,True
2026-07-30T14:48:25.545136,2026-07-30T14:48:25.545138,CRS000006,CSE102,Data Structures,4,Core,Theory,True
2026-07-30T14:48:25.545145,2026-07-30T14:48:25.545147,CRS000007,ECE101,Digital Electronics,4,Core,Theory,True
2026-07-30T14:48:25.545154,2026-07-30T14:48:25.545156,CRS000008,ENV101,Environmental Studies,2,Core,Theory,True
2026-07-30T14:48:25.545163,2026-07-30T14:48:25.545165,CRS000009,AML201,Discrete Mathematics,4,Core,Theory,True
2026-07-30T14:48:25.545172,2026-07-30T14:48:25.545174,CRS000010,AML202,Object Oriented Programming,4,Core,Theory,True
2026-07-30T14:48:25.545181,2026-07-30T14:48:25.545183,CRS000011,AML203,Database Management Systems,4,Core,Theory,True
2026-07-30T14:48:25.545190,2026-07-30T14:48:25.545192,CRS000012,AML204,Computer Organization,3,Core,Theory,True
2026-07-30T14:48:25.545199,2026-07-30T14:48:25.545201,CRS000013,AML205,Operating Systems,4,Core,Theory,True
2026-07-30T14:48:25.545208,2026-07-30T14:48:25.545210,CRS000014,AML206,Design and Analysis of Algorithms,4,Core,Theory,True
2026-07-30T14:48:25.545217,2026-07-30T14:48:25.545219,CRS000015,AML207,Software Engineering,3,Core,Theory,True
2026-07-30T14:48:25.545228,2026-07-30T14:48:25.545230,CRS000016,AML208,Artificial Neural Networks,4,Core,Theory,True
2026-07-30T14:48:25.545237,2026-07-30T14:48:25.545239,CRS000017,AML301,Machine Learning,4,Core,Theory,True
2026-07-30T14:48:25.545246,2026-07-30T14:48:25.545248,CRS000018,AML302,Computer Vision,4,Core,Theory,True
2026-07-30T14:48:25.545256,2026-07-30T14:48:25.545257,CRS000019,AML303,Natural Language Processing,4,Core,Theory,True
2026-07-30T14:48:25.545264,2026-07-30T14:48:25.545266,CRS000020,AML304,Cloud Computing,3,Core,Theory,True
2026-07-30T14:48:25.545273,2026-07-30T14:48:25.545275,CRS000021,AML305,Deep Learning,4,Core,Theory,True
2026-07-30T14:48:25.545282,2026-07-30T14:48:25.545284,CRS000022,AML306,Generative AI,4,Core,Theory,True
2026-07-30T14:48:25.545291,2026-07-30T14:48:25.545293,CRS000023,AML307,Big Data Analytics,4,Core,Theory,True
2026-07-30T14:48:25.545302,2026-07-30T14:48:25.545304,CRS000024,AML308,Data Mining,3,Core,Theory,True
2026-07-30T14:48:25.545311,2026-07-30T14:48:25.545313,CRS000025,AML401,Reinforcement Learning,4,Core,Theory,True
2026-07-30T14:48:25.545321,2026-07-30T14:48:25.545322,CRS000026,AML402,MLOps,4,Core,Theory,True
2026-07-30T14:48:25.545330,2026-07-30T14:48:25.545332,CRS000027,AML403,Project Phase-I,6,Core,Project,True
2026-07-30T14:48:25.545339,2026-07-30T14:48:25.545341,CRS000028,AML404,Professional Elective-I,3,Elective,Theory,True
2026-07-30T14:48:25.545351,2026-07-30T14:48:25.545352,CRS000029,AML405,Project Phase-II,10,Core,Project,True
2026-07-30T14:48:25.545360,2026-07-30T14:48:25.545361,CRS000030,AML406,Internship,8,Core,Internship,True
2026-07-30T14:48:25.545369,2026-07-30T14:48:25.545370,CRS000031,AML407,Professional Elective-II,3,Elective,Theory,True
