created_at,updated_at,marks_id,registration_id,cie_marks,see_marks,total_marks,grade_letter,grade_point,credit_points,credits_registered,credits_earned,result
2026-07-30T21:22:50.633263,2026-07-30T21:22:50.633270,MK000001,REG000001,12,42,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633294,2026-07-30T21:22:50.633299,MK000002,REG000002,19,57,76,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633316,2026-07-30T21:22:50.633318,MK000003,REG000003,23,50,73,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633326,2026-07-30T21:22:50.633328,MK000004,REG000004,11,42,53,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633336,2026-07-30T21:22:50.633337,MK000005,REG000005,20,42,62,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633345,2026-07-30T21:22:50.633347,MK000006,REG000006,17,46,63,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633353,2026-07-30T21:22:50.633355,MK000007,REG000007,23,30,53,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633361,2026-07-30T21:22:50.633363,MK000008,REG000008,23,51,74,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633369,2026-07-30T21:22:50.633371,MK000009,REG000009,15,33,48,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.633378,2026-07-30T21:22:50.633379,MK000010,REG000010,17,33,50,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633386,2026-07-30T21:22:50.633391,MK000011,REG000011,15,49,64,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633398,2026-07-30T21:22:50.633400,MK000012,REG000012,19,58,77,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633406,2026-07-30T21:22:50.633408,MK000013,REG000013,12,45,57,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633414,2026-07-30T21:22:50.633416,MK000014,REG000014,14,49,63,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633422,2026-07-30T21:22:50.633424,MK000015,REG000015,14,40,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633432,2026-07-30T21:22:50.633436,MK000016,REG000016,15,48,63,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633450,2026-07-30T21:22:50.633454,MK000017,REG000017,28,51,79,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633465,2026-07-30T21:22:50.633467,MK000018,REG000018,19,54,73,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633473,2026-07-30T21:22:50.633475,MK000019,REG000019,26,59,85,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633481,2026-07-30T21:22:50.633483,MK000020,REG000020,23,50,73,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633489,2026-07-30T21:22:50.633491,MK000021,REG000021,26,49,75,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633497,2026-07-30T21:22:50.633498,MK000022,REG000022,25,45,70,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633504,2026-07-30T21:22:50.633506,MK000023,REG000023,19,60,79,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633512,2026-07-30T21:22:50.633514,MK000024,REG000024,21,51,72,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633520,2026-07-30T21:22:50.633521,MK000025,REG000025,24,51,75,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633528,2026-07-30T21:22:50.633530,MK000026,REG000026,23,53,76,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633536,2026-07-30T21:22:50.633538,MK000027,REG000027,22,54,76,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633544,2026-07-30T21:22:50.633546,MK000028,REG000028,21,54,75,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633552,2026-07-30T21:22:50.633553,MK000029,REG000030,23,59,82,A+,9,36.0,4.0,4.0,PASS
