created_at,updated_at,registration_id,student_id,course_offering_id,mentor_id,registration_status,is_repeat,attendance_percentage,assignment_completion,lms_activity_score
2026-07-30T21:22:50.604864,2026-07-30T21:22:50.604886,REG000001,ST000001,CO000025,MN000010,REGISTERED,False,83,63,73
2026-07-30T21:22:50.604925,2026-07-30T21:22:50.604931,REG000002,ST000001,CO000026,MN000011,REGISTERED,False,74,64,70
2026-07-30T21:22:50.604943,2026-07-30T21:22:50.604945,REG000003,ST000001,CO000027,MN000012,REGISTERED,False,67,63,62
2026-07-30T21:22:50.604955,2026-07-30T21:22:50.604958,REG000004,ST000001,CO000028,MN000013,REGISTERED,False,76,80,64
2026-07-30T21:22:50.604977,2026-07-30T21:22:50.604983,REG000005,ST000002,CO000025,MN000010,REGISTERED,False,69,73,55
2026-07-30T21:22:50.605005,2026-07-30T21:22:50.605009,REG000006,ST000002,CO000026,MN000011,REGISTERED,False,84,75,73
2026-07-30T21:22:50.605027,2026-07-30T21:22:50.605033,REG000007,ST000002,CO000027,MN000012,REGISTERED,False,85,76,72
2026-07-30T21:22:50.605042,2026-07-30T21:22:50.605044,REG000008,ST000002,CO000028,MN000013,REGISTERED,False,78,64,70
2026-07-30T21:22:50.605053,2026-07-30T21:22:50.605055,REG000009,ST000003,CO000025,MN000010,REGISTERED,False,74,74,68
2026-07-30T21:22:50.605065,2026-07-30T21:22:50.605067,REG000010,ST000003,CO000026,MN000011,REGISTERED,False,67,66,69
2026-07-30T21:22:50.605075,2026-07-30T21:22:50.605089,REG000011,ST000003,CO000027,MN000012,REGISTERED,False,84,73,77
2026-07-30T21:22:50.605119,2026-07-30T21:22:50.605125,REG000012,ST000003,CO000028,MN000013,REGISTERED,False,73,60,63
2026-07-30T21:22:50.605142,2026-07-30T21:22:50.605146,REG000013,ST000004,CO000025,MN000010,REGISTERED,False,84,78,74
2026-07-30T21:22:50.605154,2026-07-30T21:22:50.605156,REG000014,ST000004,CO000026,MN000011,REGISTERED,False,83,73,73
