created_at,updated_at,profile_id,student_id,profile_name,attendance_min,attendance_max,assignment_min,assignment_max,cie_min,cie_max,see_min,see_max,dropout_probability
2026-07-30T21:22:50.601203,2026-07-30T21:22:50.601213,PRO000001,ST000001,Average,65,85,60,80,10,24,30,58,0.1
2026-07-30T21:22:50.601252,2026-07-30T21:22:50.601254,PRO000002,ST000002,Average,65,85,60,80,10,24,30,58,0.1
2026-07-30T21:22:50.601259,2026-07-30T21:22:50.601260,PRO000003,ST000003,Average,65,85,60,80,10,24,30,58,0.1
2026-07-30T21:22:50.601265,2026-07-30T21:22:50.601266,PRO000004,ST000004,Average,65,85,60,80,10,24,30,58,0.1
2026-07-30T21:22:50.601271,2026-07-30T21:22:50.601273,PRO000005,ST000005,Good,80,95,75,90,18,28,45,65,0.03
2026-07-30T21:22:50.601277,2026-07-30T21:22:50.601278,PRO000006,ST000006,Good,80,95,75,90,18,28,45,65,0.03
2026-07-30T21:22:50.601282,2026-07-30T21:22:50.601283,PRO000007,ST000007,Good,80,95,75,90,18,28,45,65,0.03
2026-07-30T21:22:50.601287,2026-07-30T21:22:50.601288,PRO000008,ST000008,Good,80,95,75,90,18,28,45,65,0.03
2026-07-30T21:22:50.601292,2026-07-30T21:22:50.601294,PRO000009,ST000009,Average,65,85,60,80,10,24,30,58,0.1
2026-07-30T21:22:50.601297,2026-07-30T21:22:50.601299,PRO000010,ST000010,Average,65,85,60,80,10,24,30,58,0.1
2026-07-30T21:22:50.601303,2026-07-30T21:22:50.601304,PRO000011,ST000011,Declining,40,65,35,60,4,16,15,40,0.45
2026-07-30T21:22:50.601310,2026-07-30T21:22:50.601312,PRO000012,ST000012,Good,80,95,75,90,18,28,45,65,0.03
2026-07-30T21:22:50.601316,2026-07-30T21:22:50.601318,PRO000013,ST000013,Excellent,90,100,90,100,24,30,55,70,0.01
2026-07-30T21:22:50.601321,2026-07-30T21:22:50.601323,PRO000014,ST000014,Good,80,95,75,90,18,28,45,65,0.03
2026-07-30T21:22:50.601327,2026-07-30T21:22:50.601328,PRO000015,ST000015,Average,65,85,60,80,10,24,30,58,0.1
