student_id,gender,is_active,attendance_min,attendance_max,assignment_min,assignment_max,cie_min,cie_max,see_min,see_max,credits_registered,credits_earned,sgpa,cgpa,failed_courses,backlog_courses,semester_result,registration_status,is_repeat,attendance_percentage,assignment_completion,lms_activity_score,cie_marks,see_marks,total_marks,grade_letter,grade_point,credit_points,credits_earned_marks,result,dropout_risk,has_registration,has_marks,failed_course_risk,backlog_risk,attendance_risk,assignment_risk,lms_risk,cgpa_risk,repeat_course_risk,credit_completion_ratio
ST000001,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.0,7.0,0,0,2,1,0,81.0,80.0,74.0,22.0,54.0,76.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000001,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.0,7.0,0,0,2,1,0,75.0,75.0,63.0,19.0,39.0,58.0,2,6.0,24.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000001,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.0,7.0,0,0,2,1,0,77.0,60.0,68.0,19.0,41.0,60.0,3,7.0,28.0,4.0,1,2,1,1,0,0,0,0,0,0,0,1.0
ST000001,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.0,7.0,0,0,2,1,0,79.0,76.0,72.0,10.0,56.0,66.0,3,7.0,28.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000002,0,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,78.0,60.0,77.0,11.0,42.0,53.0,2,6.0,24.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000002,0,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,85.0,76.0,77.0,19.0,53.0,72.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000002,0,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,66.0,66.0,62.0,23.0,37.0,60.0,3,7.0,28.0,4.0,1,2,1,1,0,0,1,0,0,0,0,1.0
ST000002,0,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,78.0,80.0,73.0,24.0,49.0,73.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000003,1,True,65,85,60,80,10,24,30,58,12.0,12.0,6.0,6.0,0,0,2,0,0,67.0,70.0,56.0,18.0,46.0,63.0,8,7.0,28.0,4.0,2,2,1,0,0,0,1,0,0,1,0,0.0
ST000003,1,True,65,85,60,80,10,24,30,58,12.0,12.0,6.0,6.0,0,0,2,1,0,82.0,72.0,80.0,13.0,45.0,58.0,2,6.0,24.0,4.0,1,1,1,1,0,0,0,0,0,1,0,1.0
ST000003,1,True,65,85,60,80,10,24,30,58,12.0,12.0,6.0,6.0,0,0,2,1,0,67.0,66.0,71.0,13.0,50.0,63.0,3,7.0,28.0,4.0,1,2,1,1,0,0,1,0,0,1,0,1.0
ST000003,1,True,65,85,60,80,10,24,30,58,12.0,12.0,6.0,6.0,0,0,2,1,0,70.0,65.0,66.0,18.0,31.0,49.0,4,5.0,20.0,4.0,1,2,1,1,0,0,1,0,0,1,0,1.0
ST000004,0,True,40,65,35,60,4,16,15,40,12.0,0.0,0.0,0.0,3,3,0,0,0,43.0,44.0,37.0,18.0,46.0,63.0,8,7.0,28.0,4.0,2,0,1,0,0,1,1,1,1,1,0,0.0
ST000004,0,True,40,65,35,60,4,16,15,40,12.0,0.0,0.0,0.0,3,3,0,1,0,64.0,58.0,50.0,4.0,31.0,35.0,5,0.0,0.0,0.0,0,0,1,1,1,1,1,1,0,1,0,0.0
ST000004,0,True,40,65,35,60,4,16,15,40,12.0,0.0,0.0,0.0,3,3,0,1,0,45.0,47.0,48.0,6.0,15.0,21.0,5,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,0,0.0
ST000004,0,True,40,65,35,60,4,16,15,40,12.0,0.0,0.0,0.0,3,3,0,1,0,55.0,41.0,48.0,10.0,18.0,28.0,5,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,0,0.0
ST000005,0,True,80,95,75,90,18,28,45,65,16.0,16.0,9.0,9.0,0,0,2,1,0,91.0,77.0,79.0,18.0,59.0,77.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000005,0,True,80,95,75,90,18,28,45,65,16.0,16.0,9.0,9.0,0,0,2,1,0,88.0,86.0,79.0,20.0,60.0,80.0,1,9.0,36.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000005,0,True,80,95,75,90,18,28,45,65,16.0,16.0,9.0,9.0,0,0,2,1,0,87.0,88.0,77.0,28.0,62.0,90.0,6,10.0,40.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000005,0,True,80,95,75,90,18,28,45,65,16.0,16.0,9.0,9.0,0,0,2,1,0,84.0,85.0,82.0,24.0,59.0,83.0,1,9.0,36.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000006,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.5,7.5,0,0,2,1,0,65.0,65.0,72.0,22.0,44.0,66.0,3,7.0,28.0,4.0,1,2,1,1,0,0,1,0,0,0,0,1.0
ST000006,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.5,7.5,0,0,2,1,0,84.0,64.0,77.0,17.0,46.0,63.0,3,7.0,28.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000006,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.5,7.5,0,0,2,1,0,72.0,72.0,68.0,19.0,52.0,71.0,0,8.0,32.0,4.0,1,1,1,1,0,0,1,0,0,0,0,1.0
ST000006,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.5,7.5,0,0,2,1,0,74.0,74.0,79.0,17.0,56.0,73.0,0,8.0,32.0,4.0,1,1,1,1,0,0,1,0,0,0,0,1.0
ST000007,0,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,80.0,75.0,86.0,20.0,51.0,71.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000007,0,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,88.0,87.0,79.0,23.0,64.0,87.0,1,9.0,36.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000007,0,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,85.0,81.0,86.0,19.0,57.0,76.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000007,0,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,87.0,81.0,90.0,27.0,47.0,74.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000008,1,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,86.0,89.0,87.0,20.0,54.0,74.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000008,1,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,82.0,81.0,84.0,18.0,53.0,71.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000008,1,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,93.0,85.0,89.0,23.0,55.0,78.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000008,1,True,80,95,75,90,18,28,45,65,16.0,16.0,8.25,8.25,0,0,2,1,0,90.0,83.0,85.0,21.0,62.0,83.0,1,9.0,36.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000009,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,65.0,69.0,74.0,17.0,41.0,58.0,2,6.0,24.0,4.0,1,2,1,1,0,0,1,0,0,0,0,1.0
ST000009,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,79.0,70.0,74.0,24.0,50.0,74.0,0,8.0,32.0,4.0,1,1,1,1,0,0,0,0,0,0,0,1.0
ST000009,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,71.0,64.0,65.0,19.0,49.0,68.0,3,7.0,28.0,4.0,1,2,1,1,0,0,1,0,0,0,0,1.0
ST000009,1,True,65,85,60,80,10,24,30,58,16.0,16.0,7.25,7.25,0,0,2,1,0,68.0,70.0,64.0,22.0,50.0,72.0,0,8.0,32.0,4.0,1,2,1,1,0,0,1,0,0,0,0,1.0
ST000010,1,True,55,75,50,70,8,20,25,50,12.0,12.0,5.67,5.67,0,0,2,1,0,66.0,51.0,62.0,20.0,35.0,55.0,2,6.0,24.0,4.0,1,2,1,1,0,0,1,1,0,1,0,1.0
ST000010,1,True,55,75,50,70,8,20,25,50,12.0,12.0,5.67,5.67,0,0,2,1,0,67.0,51.0,62.0,19.0,46.0,65.0,3,7.0,28.0,4.0,1,2,1,1,0,0,1,1,0,1,0,1.0
ST000010,1,True,55,75,50,70,8,20,25,50,12.0,12.0,5.67,5.67,0,0,2,1,0,67.0,59.0,60.0,8.0,36.0,44.0,7,4.0,16.0,4.0,1,2,1,1,0,0,1,1,0,1,0,1.0
ST000010,1,True,55,75,50,70,8,20,25,50,12.0,12.0,5.67,5.67,0,0,2,0,0,72.0,52.0,61.0,18.0,46.0,63.0,8,7.0,28.0,4.0,2,2,1,0,0,0,1,1,0,1,0,0.0
ST000011,0,True,65,85,60,80,10,24,30,58,16.0,16.0,6.75,6.75,0,0,2,1,0,79.0,67.0,65.0,15.0,58.0,73.0,0,8.0,32.0,4.0,1,2,1,1,0,0,0,0,0,0,0,1.0
